,name,gender,country,disciplines,events
4909,KATE,Female,Ukraine,Breaking,B-Girls
4910,STEFANI,Female,Ukraine,Breaking,B-Girls
4911,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Men
4912,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens All-Around
4913,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Floor Exercise
4914,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Horizontal Bar
4915,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Parallel Bars
4916,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Pommel Horse
4917,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Rings
4918,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Vault
4919,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Mens Team
4920,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Men
4921,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens All-Around
4922,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Floor Exercise
4923,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Horizontal Bar
4924,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Parallel Bars
4925,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Pommel Horse
4926,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Rings
4927,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Vault
4928,VERNIAIEV Oleg,Male,Ukraine,Artistic Gymnastics,Mens Team
4929,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Men
4930,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Floor Exercise
4931,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Horizontal Bar
4932,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Parallel Bars
4933,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Pommel Horse
4934,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Rings
4935,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Vault
4936,CHEPURNYI Nazar,Male,Ukraine,Artistic Gymnastics,Mens Team
4937,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Men
4938,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Floor Exercise
4939,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Horizontal Bar
4940,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Parallel Bars
4941,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Pommel Horse
4942,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Rings
4943,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Vault
4944,RADIVILOV Igor,Male,Ukraine,Artistic Gymnastics,Mens Team
4945,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Men
4946,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Floor Exercise
4947,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Horizontal Bar
4948,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Parallel Bars
4949,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Pommel Horse
4950,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Rings
4951,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Vault
4952,STELMAKH Radomyr,Male,Ukraine,Artistic Gymnastics,Mens Team
4953,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Women
4954,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Womens All-Around
4955,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Womens Balance Beam
4956,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Womens Floor Exercise
4957,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Womens Uneven Bars
4958,LASHCHEVSKA Anna,Female,Ukraine,Artistic Gymnastics,Womens Vault
4959,ONOFRIICHUK Taisiia,Female,Ukraine,Rhythmic Gymnastics,Individual All-Around
4960,VYSOCHANSKA Mariia,Female,Ukraine,Rhythmic Gymnastics,Group All-Around
4961,BAIEVA Diana,Female,Ukraine,Rhythmic Gymnastics,Group All-Around
4962,MELNYK Alina,Female,Ukraine,Rhythmic Gymnastics,Group All-Around
4963,PEREMETA Valeriia,Female,Ukraine,Rhythmic Gymnastics,Group All-Around
4964,SHYRYKINA Kira,Female,Ukraine,Rhythmic Gymnastics,Group All-Around
4965,BAKASTOVA Yuliia,Female,Ukraine,Fencing,Womens Sabre Team
4966,KRAVATSKA Olena,Female,Ukraine,Fencing,Womens Sabre Individual
4967,KRAVATSKA Olena,Female,Ukraine,Fencing,Womens Sabre Team
4968,KOMASHCHUK Alina,Female,Ukraine,Fencing,Womens Sabre Individual
4969,KOMASHCHUK Alina,Female,Ukraine,Fencing,Womens Sabre Team
4970,KRYVYTSKA Olena,Female,Ukraine,Fencing,Womens Épée Individual
4971,KRYVYTSKA Olena,Female,Ukraine,Fencing,Womens Épée Team
4972,KHARKOVA Vlada,Female,Ukraine,Fencing,Womens Épée Individual
4973,KHARKOVA Vlada,Female,Ukraine,Fencing,Womens Épée Team
4974,BEZHURA Dzhoan Feybi,Female,Ukraine,Fencing,Womens Épée Individual
4975,BEZHURA Dzhoan Feybi,Female,Ukraine,Fencing,Womens Épée Team
4976,VARFOLOMYEYEVA Darja,Female,Ukraine,Fencing,Womens Épée Team
4977,KHARLAN Olga,Female,Ukraine,Fencing,Womens Sabre Individual
4978,KHARLAN Olga,Female,Ukraine,Fencing,Womens Sabre Team
4979,KONOTOP Kamila,Female,Ukraine,Weightlifting,Womens 59kg
4980,TOVKAI Oleksandr,Male,Ukraine,Modern Pentathlon,Mens Individual
